Título;Descripción;Regalía;Precio;Ahora;Marca;Tienda;Linea;Fecha Inicio;Fecha Final;Código;Imagen
LLANTA R13;0501040105 175/70R13 KH17/KR21;Super Precio;25680;18900;KUMHO;1;8;05/02/2016;12/02/2016;501040105;0501040105.jpg
LLANTA R14;0501050021 205R14 CV3000 C8;Todas las llantas para microbus con 10% de descuento;59730;53760;FIRESTONE;1;8;05/02/2016;13/02/2016;501050021;0501050021.jpg
BATERIA P/CARRO;0530010007 N50;Super Precio en baterías Rocket;70900;55640;ROCKET;1;8;05/02/2016;14/02/2016;530010007;0530010007.jpg
BATERIA P/CARRO;0530010112 N50L - TF55D26L;15% de descuento en baterías Panasonic;68250;58015;PANASONIC;1;8;05/02/2016;15/02/2016;530010112;0530010112.jpg
RADIO P/CARRO;0540010195 DEH-X1850UB;;72415,49;65175;PIONEER;1;8;05/02/2016;16/02/2016;540010195;0540010195.jpg
PANTALLA P/CARRO;0540080102 UDI3624;Super Precio;116990,11;99900;ULTRA DIGITAL;1;8;05/02/2016;17/02/2016;540080102;0540080102.jpg
"ARO P/CARRO 14""";0560020033 Y528 14 4*100;Agrandá tus aros, llevá el aro de 14 al precio del de 13;41800;36500;GRW;1;8;05/02/2016;18/02/2016;560020033;0560020033.jpg
MOTOCICLETA;0561010060 - 0561010118;;;1095000;SUZUKI;1;4;05/02/2016;19/02/2016;561010060;0561010060.jpg
MOTOCICLETA;0561010070 CB1;;;939000;HONDA;1;4;05/02/2016;20/02/2016;561010070;0561010070.jpg
MOTOCICLETA;0561010128 - 0561010129;;;890000;AKT;1;4;05/02/2016;21/02/2016;561010128;0561010128.jpg
MOTOCICLETA;0561010158 AZUL - 0561010159 NEGRA;;;1165000;AKT;1;4;05/02/2016;22/02/2016;561010158;0561010158.jpg
MOTOCICLETA;0561010160 NARANJA - 0561010161 NEGRA;;;1195000;AKT;1;4;05/02/2016;23/02/2016;561010160;0561010160.jpg
MOTOCICLETA;0561010165 BLANCA -  0561010167 NARANJA - 0561010166 ROJA;;;1990000;AKT;1;4;05/02/2016;24/02/2016;561010165;0561010165.jpg
COMPUTADORA PORTATIL;1001000885 14-AF10LA;Gratis Mouse 1008010133;194900;179900;HP;1;1;05/02/2016;25/02/2016;1001000885;1001000885.jpg
COMPUTADORA PORTATIL;1001001023 14-AC111LA;Gratis teclado 1007010060;;319000;HP;1;1;05/02/2016;26/02/2016;1001001023;1001001023.jpg
COMPUTADORA PORTATIL;1001001047 14AF113LA;Gratis Router 1022020218;219990;209990;HP;1;1;05/02/2016;27/02/2016;1001001047;1001001047.jpg
COMPUTADORA PORTATIL;1001001077 INS 14-3458;Gratis Router Nexxt;299900;279900;DELL;1;1;05/02/2016;28/02/2016;1001001077;1001001077.jpg
COMPUTADORA PORTATIL;1001001094 C45-C/4201S;Gratis salveque;;240200;TOSHIBA;1;1;05/02/2016;29/02/2016;1001001094;1001001094.jpg
COMPUTADORA PORTATIL;1001001120 15AN002LA;Gratis parlante 1010020098;549900;468900;HP;1;1;05/02/2016;01/03/2016;1001001120;1001001120.jpg
COMPUTADORA PORTATIL;1001001123 ES1-311;;;159990;ACER;1;1;05/02/2016;02/03/2016;1001001123;1001001123.jpg
TABLET             ;1001260190 G7;;;59000;BLU;1;1;05/02/2016;03/03/2016;1001260190;1001260190.jpg
TABLET;1001260224 A7-20;;;54900;LENOVO;1;1;05/02/2016;04/03/2016;1001260224;1001260224.jpg
TABLET;1001260226 T1-702U-SLV;;;79400;HUAWEI;1;1;05/02/2016;05/03/2016;1001260226;1001260226.jpg
