T°tulo;;Descripci¢n;Precio;Ahora;Marca;Tienda;Linea;Fecha Inicio;Fecha Final;Codigo;Imagen
LLANTA R14;;BRIDGESTONE 185*65R14POTENZAGIII;36670;33000;PRUEBA;1;7;24/04/2016;25/04/2016;501050014;0501050014.JPG
LLANTA R15;;LLANTA R15 KUMHO 185*65R15 KH25;32500;29250;PRUEBA;1;7;24/04/2016;25/04/2016;501060336;0501060336.JPG
BATERIA P/CARRO;;BATERIA P/CARRO ROCKET N50;70900;55460;PRUEBA;1;7;24/04/2016;25/04/2016;530010007;0530010007.JPG
BATERIA P/CARRO;;BATERIA P/CARRO DIENER N50;57870;54970;PRUEBA;1;7;24/04/2016;25/04/2016;530010126;0530010126.JPG
DVD PARA CARRO CON CD AUX USB;;DVD PARA CARRO CON CD AUX USB ULTRADIGITALUDI7624;136830;129990;PRUEBA;1;7;24/04/2016;25/04/2016;540080095;0540080095.JPG
"ARO P/CARRO 14""";;"ARO P/CARRO 14"" GRW Y528 14 4*100";41800;36500;PRUEBA;1;7;24/04/2016;25/04/2016;560020033;0560020033.JPG
COMBO MOTOCICLETA 150SL;;MOTOCICLETA AKT 150SL / 0561030013 LENTE MOTOCICLISTA LS2 YH16 / 0565030081 CASCO P/MOTOCICLETA LS2 ACTION / 0561030012 CAPA MOTOCICLISTA LS2 LS2;838330;754500;PRUEBA;1;3;24/04/2016;25/04/2016;561010136;0561010136.JPG
COMBO MOTOCICLETA TTR180;;MOTOCICLETA AKT TTR180 / 0561030014 LENTE MOTOCICLISTA LS2 YH-90 / 0565030115 CASCO P/ MOTO NOLAN N53 / 0561030012 CAPA MOTOCICLISTA LS2 LS2 / 0561030009 JACKET LS2 LAGUNA;1435700;1292100;PRUEBA;1;3;24/04/2016;25/04/2016;561010158;0561010158.JPG
COMBO MOTOCICLETA TTX180;;MOTOCICLETA AKT TTX180 / 0565030115 CASCO P/ MOTO NOLAN N53 / 0561030009 JACKET LS2 LAGUNA / 0561030012 CAPA MOTOCICLISTA LS2 LS2 / 0561030014 LENTE MOTOCICLISTA LS2 YH-90;1465700;1319100;PRUEBA;1;3;24/04/2016;25/04/2016;561010160;0561010160.JPG
COMBO MOTOCICLETA CR5;;MOTOCICLETA AKT CR5 / 0565030116 CASCOP/ MOTO NOLAN N 64 / 0561030009 JACKET LS2 LAGUNA / 0561030012 CAPA MOTOCICLISTA LS2 LS2;1364200;1227800;PRUEBA;1;3;24/04/2016;25/04/2016;561010162;0561010162.JPG
COMBO MOTOCICLETA TT250;;MOTOCICLETA AKT TT250 / 0561030014 LENTE MOTOCICLISTA LS2 YH-90 / 0565030115 CASCO P/ MOTO NOLAN N53 / 0561030009 JACKET LS2 LAGUNA / 0561030012 CAPA MOTOCICLISTA LS2 LS2;2260700;2034600;PRUEBA;1;3;24/04/2016;25/04/2016;561010165;0561010165.JPG
COMPUTADORA PORTATIL;;COMPUTADORA PORTATIL HP 11-P101LA;255000;235000;PRUEBA;1;12;24/04/2016;25/04/2016;1001000966;1001000966.JPG
COMPUTADORA PORTATIL;;COMPUTADORA PORTATIL DELL 14-3442 CORE I5;369900;339900;PRUEBA;1;12;24/04/2016;25/04/2016;1001001036;1001001036.JPG
COMPUTADORA PORTATIL;;COMPUTADORA PORTATIL DELL INS 14-3458;;299900;PRUEBA;1;12;24/04/2016;25/04/2016;1001001077;1001001077.JPG
COMPUTADORA PORTATIL;;COMPUTADORA PORTATIL ACER ES1-431-C8D2-ES;;179900;PRUEBA;1;12;24/04/2016;25/04/2016;1001001113;1001001113.JPG
COMPUTADORA PORTATIL;;COMPUTADORA PORTATIL ACER ES1-311;;159990;PRUEBA;1;12;24/04/2016;25/04/2016;1001001123;1001001123.JPG
COMPUTADORA PORTATIL;;COMPUTADORA PORTATIL DELL INSPIRON 15-3558;;319900;PRUEBA;1;12;24/04/2016;25/04/2016;1001001125;1001001125.JPG
COMPUTADORA PORTATIL;;COMPUTADORA PORTATIL DELL INSPIRON 14-5458;;399900;PRUEBA;1;12;24/04/2016;25/04/2016;1001001126;1001001126.JPG
COMPUTADORA PORTATIL;;COMPUTADORA PORTATIL DELL INSPIRON 15-5559;;603990;PRUEBA;1;12;24/04/2016;25/04/2016;1001001128;1001001128.JPG
TABLET              ;;TABLET QUO QD3GME-710-GD;;49900;PRUEBA;1;12;24/04/2016;25/04/2016;1001260110;1001260110.JPG
TABLET             ;;TABLET BLU G7;;59000;PRUEBA;1;12;24/04/2016;25/04/2016;1001260190;1001260190.JPG
TABLET              ;;TABLET ACER B1-770;;59900;PRUEBA;1;12;24/04/2016;25/04/2016;1001260191;1001260191.JPG
TABLET              ;;"TABLET HUAWEI T1-702U-SLV 7""";;79400;PRUEBA;1;12;24/04/2016;25/04/2016;1001260226;1001260226.JPG
TABLET ;;TABLET ULTRAˇ DIGITAL UD74004A;;45900;PRUEBA;1;12;24/04/2016;25/04/2016;1001260229;1001260229.JPG
IMPRESORA MULTIFUNCIONAL;;IMPRESORA MULTIFUNCIONAL EPSON XP-231;33900;29900;PRUEBA;1;12;24/04/2016;25/04/2016;1011040111;1011040111.JPG
HABITACI‡N DOBLE;;HABITACI‡N DOBLE RIU GUANACASTE;;64850;PRUEBA;1;8;24/04/2016;25/04/2016;1104010119;1104010119.JPG
HABITACI‡N DOBLE O TRIPLE;;HABITACI‡N DOBLE O TRIPLE BEST WESTERN JAC‡BEACJH;;51500;PRUEBA;1;8;24/04/2016;25/04/2016;1104010244;1104010244.JPG
BICICLETA M26;;BICICLETA M26 BIDECA MTB26 INCL;73640;66280;PRUEBA;1;9;24/04/2016;25/04/2016;1501050251;1501050251.JPG
BICICLETA M29;;BICICLETA M29 SUPER MIRAGE;223230;200900;PRUEBA;1;9;24/04/2016;25/04/2016;1501080012;1501080012.JPG
BICICLETA M27.5;;BICICLETA M27.5 SUPER MAVERICK;270230;243200;PRUEBA;1;9;24/04/2016;25/04/2016;1501090005;1501090005.JPG
BICICLETA SPINNING;;BICICLETA SPINNING FORZA YK-BKP0100;125700;115700;PRUEBA;1;9;24/04/2016;25/04/2016;1515030033;1515030033.JPG
CAMINADORA;;CAMINADORA FORZA YK-ET1401A;330000;299900;PRUEBA;1;9;24/04/2016;25/04/2016;1516090015;1516090015.JPG
MAQUINA ELIPTICA;;MAQUINA ELIPTICA FORZA YK-BA433E;106100;95500;PRUEBA;1;9;24/04/2016;25/04/2016;1516120038;1516120038.JPG
MINI GINMANSIO;;MINI GINMANSIO FORZA YK-1505-2;289890;269890;PRUEBA;1;9;24/04/2016;25/04/2016;1517010015;1517010015.JPG
COMBO LICUADORA + JUEGOS DE OLLAS;;LICUADORA SANKEY BL-779G / 2202050017 JUEGO OLLAS SANKEY W757;32600;27325;PRUEBA;1;1;24/04/2016;25/04/2016;2003010007;2003010007.JPG
COMBO COFFEEMAKER + HIORNO TOSTADOR;;COFFE MAKER 8 TAZAS SUPERMATIC CM4281 / 2012040017 HORNO TOST. 9 LITROS SUPERMATIC TO9431;;17655;PRUEBA;1;1;24/04/2016;25/04/2016;2010020080;2010020080.JPG
VENTILADOR PIE 16;;VENTILADOR PIE 16 MASTERTECH 15503;15950;14950;PRUEBA;1;1;24/04/2016;25/04/2016;2030150128;2030150128.JPG
MAQUINA DE COSER;;MAQUINA DE COSER JANOME 311A-12BH;65590;59030;PRUEBA;1;1;24/04/2016;25/04/2016;2036010094;2036010094.JPG
MAQUINA DE COSERˇ OVERLOCK;;MAQUINA DE COSERˇ OVERLOCK BROTHER 3034D;166535;149880;PRUEBA;1;1;24/04/2016;25/04/2016;2036020029;2036020029.JPG
COMBO 4 HIELERAS;;COMBO 4 HIELERAS PINNAC TPX2061RD;;75560;PRUEBA;1;2;24/04/2016;25/04/2016;2210010097;2210010097.JPG
JUEGO DE SALA;;JUEGO DE SALA EURO MINICONFOR;359000;330000;PRUEBA;1;5;24/04/2016;25/04/2016;4001010988;4001010988.JPG
JUEGO DE SALA;;JUEGO DE SALA GLOVAES ESMERALDA;300000;267000;PRUEBA;1;5;24/04/2016;25/04/2016;4001060015;4001060015.JPG
JUEGO DE SALA;;JUEGO DE SALA MUCARU MINI DUBAI;320000;281900;PRUEBA;1;5;24/04/2016;25/04/2016;4002020011;4002020011.JPG
JUEGO COMEDOR 4/S;;JUEGO COMEDOR 4/S ALFARO TABACO;135000;115900;PRUEBA;1;5;24/04/2016;25/04/2016;4101020023;4101020023.JPG
JUEGO DE COMEDOR 4S;;JUEGO DE COMEDOR 4S RUSDAS COLONIAL;256800;222000;PRUEBA;1;5;24/04/2016;25/04/2016;4101070015;4101070015.JPG
MUEBLE MICROONDAS;;MUEBLE MICROONDAS MUCORO PANERO;280000;245000;PRUEBA;1;5;24/04/2016;25/04/2016;4108030065;4108030065.JPG
CAMA MATRIM. STAND;;CAMA MATRIM. STAND TALYSA ARPA;163200;141200;PRUEBA;1;5;24/04/2016;25/04/2016;4201010450;4201010450.JPG
JUEGO DE TERRAZA;;JUEGO DE TERRAZA BORBON MECEDORA;184670;157000;PRUEBA;1;5;24/04/2016;25/04/2016;4405010069;4405010069.JPG
COLCHON MATRIMONIAL;;COLCHON MATRIMONIAL JIRON ORTOP.I;110250;100000;PRUEBA;1;5;24/04/2016;25/04/2016;4501010388;4501010388.JPG
COLCHON MATRIMONIAL;;COLCHON MATRIMONIAL LUXOR DORMILON;69000;60000;PRUEBA;1;5;24/04/2016;25/04/2016;4501010394;4501010394.JPG
COLCHON MATRIMONIAL;;COLCHON MATRIMONIAL LUXOR AMANECER;89820;83000;PRUEBA;1;5;24/04/2016;25/04/2016;4501010934;4501010934.JPG
COLCHON INDIVIDUAL;;COLCHON INDIVIDUAL JIRON RESTONIC;58920;53500;PRUEBA;1;5;24/04/2016;25/04/2016;4501030813;4501030813.JPG
TELEFONO CELULAR 3G;;TELEFONO CELULAR 3G BLU DASH M;;54900;PRUEBA;1;12;24/04/2016;25/04/2016;5001060121;5001060121.JPG
